Region,Country,Year,Brand,Tier 1,Tier 2,Tier 3,Pep (%),Budget,Pep Budget,Bottler Budget,Category
LAB Mexico,Mexico,2025,Lipton,Pull-Non-Working,Agency Fees,Media Agency Fees,100.0,1030662,1030662,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Non-Working,Agency Fees,Other Agency Fees,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Non-Working,Agency Fees,Social Media/Influence Marketing,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Non-Working,Innovation and Insight,Innovation,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Non-Working,Innovation and Insight,Market Research,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Non-Working,Innovation and Insight,Other Innovation and Insight,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Non-Working,Insight,Advanced Analytics,100.0,1104280,1104280,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Non-Working,Insight,Brand Building,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Non-Working,Insight,Consumer Tracking,100.0,1545993,1545993,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Non-Working,Insight,Customer / Retail and Insights and Analytics,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Non-Working,Insight,Foundational Data / Systems,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Non-Working,Insight,Innovation Insights,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Non-Working,Insight,Strategic Insights,100.0,294474,294474,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Non-Working,Other Non Working,All Other Non Working,100.0,2282180,2282180,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Non-Working,Other Non Working,NW-Cross Charges,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Non-Working,Other Non Working,NW-Excluded non-A&M Items,0.0,0,0,0,RTD Tea
LAB Mexico,Mexico,2025,Lipton,Pull-Non-Working,Other Non Working,NW-Fall In / Fall Out,0.0,0,0,0,RTD Tea
